Designator,Mid X,Mid Y,Rotation,Layer
K_54,164.6725,-83.44,0.0,top
K_55,183.7225,-83.44,0.0,top
K_56,202.7725,-83.44,0.0,top
K_57,221.8225,-83.44,0.0,top
K_58,248.01625,-83.44,0.0,top
K_59,302.785,-83.44,0.0,top
K_6,140.86,-26.29,0.0,top
K_60,321.835,-83.44,0.0,top
K_61,340.885,-83.44,0.0,top
K_62,278.9725,-88.2025,0.0,top
K_63,28.94125,-102.49,0.0,top
K_64,50.3725,-102.49,0.0,top
K_65,71.80375,-102.49,0.0,top
K_66,109.90375,-102.49,0.0,top
K_67,145.6225,-102.49,0.0,top
K_68,176.57875,-102.49,0.0,top
K_69,209.91625,-102.49,0.0,top
K_7,159.91,-26.29,0.0,top
K_70,233.72875,-102.49,0.0,top
K_71,321.835,-102.49,0.0,top
K_72,340.885,-102.49,0.0,top
K_73,259.9225,-107.2525,0.0,top
K_74,278.9725,-107.2525,0.0,top
K_75,298.0225,-107.2525,0.0,top
K_8,178.96,-26.29,0.0,top
K_9,198.01,-26.29,0.0,top
R10,286.95,-55.05,270.0,bottom
R11,285.95,-55.1,270.0,bottom
R4,293.425,-58.15,225.0,bottom
R7,291.9,-55.85,180.0,bottom
R8,285.9,-72.475,270.0,bottom
R9,284.55,-54.3,90.0,bottom
RSW1,280.4,-76.65,180.0,bottom
U1,281.95,-55.05,180.0,bottom
U2,286.6375,-64.8625,0.0,bottom
U3,318.8,-35.825,0.0,bottom
Y1,288.575,-73.45,0.0,bottom
